agent_id,employee_code,agent_name,vendor_id,team,status,joined_at,updated_at,calls,accounts_called,total_duration_sec,avg_duration_sec,attributed_successful_payments,attributed_recovery,paying_accounts,recovery_per_call
AGT0000760,EMP00323,Vikram Shah,VND0000012,T3,INACTIVE,2025-06-19 20:30:53,2025-12-11 03:40:22,99,98,51603,521.2424242424242,2.0,202078.79,2.0,2041.199898989899
AGT0000171,EMP00079,Pooja Nair,VND0000012,T1,INACTIVE,2025-08-26 11:06:26,2025-10-11 08:30:33,103,102,48216,468.11650485436894,0.0,0.0,0.0,0.0
AGT0000766,EMP00030,Sneha Das,VND0000002,FIELD,SUSPENDED,2024-05-30 11:23:06,2026-05-16 03:02:02,96,96,44930,468.0208333333333,0.0,0.0,0.0,0.0
AGT0000031,EMP00334,Aarav Sharma,VND0000007,T1,INACTIVE,2024-10-11 18:58:28,2025-10-16 13:31:21,94,94,44621,474.6914893617021,0.0,0.0,0.0,0.0
AGT0000669,EMP00014,Aarav Sharma,VND0000001,T3,SUSPENDED,2024-09-01 19:55:06,2026-07-04 03:33:11,109,109,49197,451.348623853211,1.0,34896.2,1.0,320.148623853211
AGT0000968,EMP00060,Amit Kumar,VND0000012,T1,ACTIVE,2025-04-30 13:05:13,2025-02-11 19:01:45,84,84,35642,424.3095238095238,2.0,256668.56,2.0,3055.578095238095
AGT0000155,EMP00636,Amit Kumar,VND0000007,DIGITAL,SUSPENDED,2024-12-07 13:58:39,2026-07-28 06:16:07,84,84,42137,501.6309523809524,2.0,118745.58,2.0,1413.6378571428572
AGT0000480,EMP00420,Aarav Sharma,VND0000005,FIELD,INACTIVE,2024-02-16 22:56:23,2025-02-01 18:17:09,88,88,38566,438.25,1.0,49820.57,1.0,566.1428409090909
AGT0000404,EMP00148,Rahul Verma,VND0000009,DIGITAL,INACTIVE,2024-04-02 12:16:02,2025-10-13 14:12:16,85,85,36054,424.16470588235296,1.0,87589.15,1.0,1030.4605882352942
AGT0000077,EMP00415,Aarav Sharma,VND0000003,T2,ACTIVE,2025-07-29 21:47:05,2026-05-28 01:38:51,86,86,40414,469.93023255813955,2.0,69677.66,2.0,810.2053488372094
AGT0000515,EMP00365,Priya Mehta,VND0000004,T2,INACTIVE,2024-07-14 03:07:01,2026-03-29 15:32:00,85,85,40814,480.16470588235296,0.0,0.0,0.0,0.0
AGT0000768,EMP00504,Amit Kumar,VND0000014,DIGITAL,INACTIVE,2024-03-17 17:27:37,2025-05-03 01:04:57,88,88,41277,469.0568181818182,0.0,0.0,0.0,0.0
AGT0000880,EMP00616,Ananya Rao,VND0000008,FIELD,INACTIVE,2024-11-08 06:07:41,2025-05-19 16:52:45,98,98,47932,489.1020408163265,4.0,224588.37,4.0,2291.7180612244897
AGT0000824,EMP00292,Neha Singh,VND0000008,T3,ACTIVE,2024-01-26 20:42:57,2025-06-05 02:47:52,80,80,34237,427.9625,1.0,2242.0,1.0,28.025
AGT0000319,EMP00319,Sneha Das,VND0000014,T2,INACTIVE,2024-09-07 08:04:05,2026-01-07 11:18:50,95,95,37824,398.14736842105265,4.0,184030.16,4.0,1937.1595789473683
AGT0000563,EMP00916,Vikram Shah,VND0000010,DIGITAL,ACTIVE,2025-06-25 01:27:30,2026-05-10 08:45:10,97,97,49170,506.9072164948454,2.0,127905.67,2.0,1318.6151546391752
